Coa_id,bu_id,coa_effective_date_id,gl_account_cd,gl_subacct_cd,gl_account_name,gl_subacct_name,consolidation_account,ey_gl_account_name,ey_account_type,ey_account_sub_type,ey_account_class,ey_account_sub_class,ey_account_group_I,ey_account_group_II,ey_cash_activity,ey_index,ey_sub_index,created_by_id,created_date_id,created_time_id,last_modified_by_id,last_modified_date_id,ver_desc,ver_start_date_id,ver_end_date_id
34,14,19920623,652000,NULL,Long Text0000652000,NULL,,0000652000 - Long Text0000652000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
35,14,19920623,656000,NULL,Long Text0000656000,NULL,,0000656000 - Long Text0000656000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
36,14,19931208,670200,NULL,Long Text0000670200,NULL,,0000670200 - Long Text0000670200,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931208,0,29,19931208,20141115,20141115,NULL
37,14,19931208,692100,NULL,Long Text0000692100,NULL,,0000692100 - Long Text0000692100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931208,0,29,19931208,20141115,20141115,NULL
38,14,19920623,694000,NULL,Long Text0000694000,NULL,,0000694000 - Long Text0000694000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
39,14,19931215,712030,NULL,Long Text0000712030,NULL,,0000712030 - Long Text0000712030,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
40,14,19920623,741000,NULL,Long Text0000741000,NULL,,0000741000 - Long Text0000741000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
41,14,19931215,749010,NULL,Long Text0000749010,NULL,,0000749010 - Long Text0000749010,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
42,14,19920623,754000,NULL,Long Text0000754000,NULL,,0000754000 - Long Text0000754000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
43,14,19920623,771000,NULL,Long Text0000771000,NULL,,0000771000 - Long Text0000771000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
44,18,19970624,11110204,NULL,Long Text0011110204,NULL,,0011110204 - Long Text0011110204,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
45,18,19970624,11110205,NULL,Long Text0011110205,NULL,,0011110205 - Long Text0011110205,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
46,18,19970624,11410190,NULL,Long Text0011410190,NULL,,0011410190 - Long Text0011410190,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
47,18,19970624,11410199,NULL,Long Text0011410199,NULL,,0011410199 - Long Text0011410199,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
48,18,19970624,11810201,NULL,Long Text0011810201,NULL,,0011810201 - Long Text0011810201,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
49,18,19970624,11910000,NULL,Long Text0011910000,NULL,,0011910000 - Long Text0011910000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
50,18,19970624,16110201,NULL,Long Text0016110201,NULL,,0016110201 - Long Text0016110201,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
51,18,19970624,19010101,NULL,Long Text0019010101,NULL,,0019010101 - Long Text0019010101,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
52,18,19970624,19110101,NULL,Long Text0019110101,NULL,,0019110101 - Long Text0019110101,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
53,18,19970624,21010101,NULL,Long Text0021010101,NULL,,0021010101 - Long Text0021010101,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
54,18,19970624,21110100,NULL,Long Text0021110100,NULL,,0021110100 - Long Text0021110100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
55,18,19970624,21210201,NULL,Long Text0021210201,NULL,,0021210201 - Long Text0021210201,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
56,18,19970624,21210290,NULL,Long Text0021210290,NULL,,0021210290 - Long Text0021210290,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
57,18,19970624,21710090,NULL,Long Text0021710090,NULL,,0021710090 - Long Text0021710090,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
58,18,19970624,22010201,NULL,Long Text0022010201,NULL,,0022010201 - Long Text0022010201,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
59,18,19970624,31110100,NULL,Long Text0031110100,NULL,,0031110100 - Long Text0031110100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
60,18,19970624,51310000,NULL,Long Text0051310000,NULL,,0051310000 - Long Text0051310000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
61,18,19970624,51410400,NULL,Long Text0051410400,NULL,,0051410400 - Long Text0051410400,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
62,18,19970624,51411200,NULL,Long Text0051411200,NULL,,0051411200 - Long Text0051411200,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
63,18,19970624,55010100,NULL,Long Text0055010100,NULL,,0055010100 - Long Text0055010100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
64,18,19970624,94099998,NULL,Long Text0094099998,NULL,,0094099998 - Long Text0094099998,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
65,20,19970624,25000,NULL,Long Text0000025000,NULL,,0000025000 - Long Text0000025000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
66,20,19970624,42100,NULL,Long Text0000042100,NULL,,0000042100 - Long Text0000042100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
67,20,19970624,52000,NULL,Long Text0000052000,NULL,,0000052000 - Long Text0000052000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
68,20,19970624,73000,NULL,Long Text0000073000,NULL,,0000073000 - Long Text0000073000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
69,20,19970624,79000,NULL,Long Text0000079000,NULL,,0000079000 - Long Text0000079000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
70,20,19970714,97000,NULL,Long Text0000097000,NULL,,0000097000 - Long Text0000097000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970714,0,29,19970714,20141115,20141115,NULL
71,20,19970714,98000,NULL,Long Text0000098000,NULL,,0000098000 - Long Text0000098000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970714,0,29,19970714,20141115,20141115,NULL
72,20,19970624,111000,NULL,Long Text0000111000,NULL,,0000111000 - Long Text0000111000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
73,20,19970624,111930,NULL,Long Text0000111930,NULL,,0000111930 - Long Text0000111930,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
74,20,19970624,112300,NULL,Long Text0000112300,NULL,,0000112300 - Long Text0000112300,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
75,20,19970624,112600,NULL,Long Text0000112600,NULL,,0000112600 - Long Text0000112600,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
76,20,19970624,112920,NULL,Long Text0000112920,NULL,,0000112920 - Long Text0000112920,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
77,20,19970624,132000,NULL,Long Text0000132000,NULL,,0000132000 - Long Text0000132000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
78,20,19970624,191000,NULL,Long Text0000191000,NULL,,0000191000 - Long Text0000191000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
79,20,19970624,194000,NULL,Long Text0000194000,NULL,,0000194000 - Long Text0000194000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
80,20,19970624,241000,NULL,Long Text0000241000,NULL,,0000241000 - Long Text0000241000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
81,20,19970624,255000,NULL,Long Text0000255000,NULL,,0000255000 - Long Text0000255000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
82,20,19970624,311199,NULL,Long Text0000311199,NULL,,0000311199 - Long Text0000311199,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
83,20,19970624,314000,NULL,Long Text0000314000,NULL,,0000314000 - Long Text0000314000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
84,20,19970624,321299,NULL,Long Text0000321299,NULL,,0000321299 - Long Text0000321299,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
85,20,19970624,343100,NULL,Long Text0000343100,NULL,,0000343100 - Long Text0000343100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
86,20,19970721,347000,NULL,Long Text0000347000,NULL,,0000347000 - Long Text0000347000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970721,0,29,19970721,20141115,20141115,NULL
87,20,19970624,361000,NULL,Long Text0000361000,NULL,,0000361000 - Long Text0000361000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
88,20,19970624,371000,NULL,Long Text0000371000,NULL,,0000371000 - Long Text0000371000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
89,20,19970722,395000,NULL,Long Text0000395000,NULL,,0000395000 - Long Text0000395000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970722,0,29,19970722,20141115,20141115,NULL
90,20,19970624,427000,NULL,Long Text0000427000,NULL,,0000427000 - Long Text0000427000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
91,20,19970624,431000,NULL,Long Text0000431000,NULL,,0000431000 - Long Text0000431000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
92,20,19970624,478000,NULL,Long Text0000478000,NULL,,0000478000 - Long Text0000478000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
93,20,19970624,479070,NULL,Long Text0000479070,NULL,,0000479070 - Long Text0000479070,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
94,20,19970624,479160,NULL,Long Text0000479160,NULL,,0000479160 - Long Text0000479160,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
95,20,19970624,501150,NULL,Long Text0000501150,NULL,,0000501150 - Long Text0000501150,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
96,20,19970624,501170,NULL,Long Text0000501170,NULL,,0000501170 - Long Text0000501170,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
97,20,19970624,501180,NULL,Long Text0000501180,NULL,,0000501180 - Long Text0000501180,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
98,20,19970624,501930,NULL,Long Text0000501930,NULL,,0000501930 - Long Text0000501930,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
99,20,19970624,504100,NULL,Long Text0000504100,NULL,,0000504100 - Long Text0000504100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
100,20,19970829,518110,NULL,Long Text0000518110,NULL,,0000518110 - Long Text0000518110,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970829,0,29,19970829,20141115,20141115,NULL
101,20,19970722,548000,NULL,Long Text0000548000,NULL,,0000548000 - Long Text0000548000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970722,0,29,19970722,20141115,20141115,NULL
102,20,19970624,562000,NULL,Long Text0000562000,NULL,,0000562000 - Long Text0000562000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
103,20,19970624,568300,NULL,Long Text0000568300,NULL,,0000568300 - Long Text0000568300,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
104,20,19970624,574000,NULL,Long Text0000574000,NULL,,0000574000 - Long Text0000574000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
105,20,19970722,589000,NULL,Long Text0000589000,NULL,,0000589000 - Long Text0000589000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970722,0,29,19970722,20141115,20141115,NULL
106,20,19970624,602000,NULL,Long Text0000602000,NULL,,0000602000 - Long Text0000602000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
107,20,19970624,612000,NULL,Long Text0000612000,NULL,,0000612000 - Long Text0000612000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
108,20,19970624,642000,NULL,Long Text0000642000,NULL,,0000642000 - Long Text0000642000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
109,20,19970624,646000,NULL,Long Text0000646000,NULL,,0000646000 - Long Text0000646000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
110,20,19970722,648100,NULL,Long Text0000648100,NULL,,0000648100 - Long Text0000648100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970722,0,29,19970722,20141115,20141115,NULL
111,20,19970624,663040,NULL,Long Text0000663040,NULL,,0000663040 - Long Text0000663040,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970624,0,29,19970624,20141115,20141115,NULL
112,20,19970722,698000,NULL,Long Text0000698000,NULL,,0000698000 - Long Text0000698000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19970722,0,29,19970722,20141115,20141115,NULL
113,24,19920623,100000,NULL,Long Text0000100000,NULL,,0000100000 - Long Text0000100000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
114,24,19930603,100100,NULL,Long Text0000100100,NULL,,0000100100 - Long Text0000100100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19930603,0,29,19930603,20141115,20141115,NULL
115,24,19920623,131000,NULL,Long Text0000131000,NULL,,0000131000 - Long Text0000131000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
116,24,19920623,164000,NULL,Long Text0000164000,NULL,,0000164000 - Long Text0000164000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
117,24,19920623,165000,NULL,Long Text0000165000,NULL,,0000165000 - Long Text0000165000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
118,24,19920623,253000,NULL,Long Text0000253000,NULL,,0000253000 - Long Text0000253000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
119,24,19920623,258000,NULL,Long Text0000258000,NULL,,0000258000 - Long Text0000258000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
120,24,19920623,281200,NULL,Long Text0000281200,NULL,,0000281200 - Long Text0000281200,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
121,24,19920623,281400,NULL,Long Text0000281400,NULL,,0000281400 - Long Text0000281400,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
122,24,19920623,282700,NULL,Long Text0000282700,NULL,,0000282700 - Long Text0000282700,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
123,24,19920623,282900,NULL,Long Text0000282900,NULL,,0000282900 - Long Text0000282900,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
124,24,19930920,294100,NULL,Long Text0000294100,NULL,,0000294100 - Long Text0000294100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19930920,0,29,19930920,20141115,20141115,NULL
