period_id,bu_id,engagement_id,fiscal_period_cd,fiscal_period_desc,fiscal_period_seq,fiscal_period_start,fiscal_period_end,fiscal_quarter_cd,fiscal_quarter_desc,fiscal_quarter_start,fiscal_quarter_end,fiscal_year_cd,fiscal_year_desc,fiscal_year_start,fiscal_year_end,adjustment_period,ver_start_date_id,ver_end_date_id,ver_desc
27,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-011,2007-011,11,20071101,20071130,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,20141115,NULL,20141115
28,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-012,2007-012,12,20071201,20071231,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,20141115,NULL,20141115
29,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-013,2007-013,13,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,20141115,NULL,20141115
30,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-014,2007-014,14,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,20141115,NULL,20141115
31,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-015,2007-015,15,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,20141115,NULL,20141115
32,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-016,2007-016,16,20071231,20071231,2007-Q4,2007-Q4,20070930,20071231,2007,2007,20070101,20071231,Y,20141115,NULL,20141115
33,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-001,2008-001,1,20080101,20080131,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,20141115,NULL,20141115
34,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-002,2008-002,2,20080201,20080229,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,20141115,NULL,20141115
35,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-003,2008-003,3,20080301,20080331,2008-Q1,2008-Q1,20080101,20080331,2008,2008,20080101,20081231,N,20141115,NULL,20141115
36,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-004,2008-004,4,20080401,20080430,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,20141115,NULL,20141115
37,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-005,2008-005,5,20080501,20080531,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,20141115,NULL,20141115
38,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-006,2008-006,6,20080601,20080630,2008-Q2,2008-Q2,20080401,20080630,2008,2008,20080101,20081231,N,20141115,NULL,20141115
39,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-007,2008-007,7,20080701,20080731,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,20141115,NULL,20141115
40,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-008,2008-008,8,20080801,20080831,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,20141115,NULL,20141115
41,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-009,2008-009,9,20080901,20080930,2008-Q3,2008-Q3,20080701,20080930,2008,2008,20080101,20081231,N,20141115,NULL,20141115
42,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-010,2008-010,10,20081001,20081031,2008-Q4,2008-Q4,20081001,20081231,2008,2008,20080101,20081231,N,20141115,NULL,20141115
43,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-011,2008-011,11,20081101,20081130,2008-Q4,2008-Q4,20081001,20081231,2008,2008,20080101,20081231,N,20141115,NULL,20141115
44,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-012,2008-012,12,20081201,20081231,2008-Q4,2008-Q4,20081001,20081231,2008,2008,20080101,20081231,N,20141115,NULL,20141115
45,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-013,2008-013,13,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,20141115,NULL,20141115
46,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-014,2008-014,14,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,20141115,NULL,20141115
47,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-015,2008-015,15,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,20141115,NULL,20141115
48,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2008-016,2008-016,16,20081231,20081231,2008-Q4,2008-Q4,20080930,20081231,2008,2008,20080101,20081231,Y,20141115,NULL,20141115
49,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-001,2009-001,1,20090101,20090131,2009-Q1,2009-Q1,20090101,20090331,2009,2009,20090101,20091231,N,20141115,NULL,20141115
50,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-002,2009-002,2,20090201,20090228,2009-Q1,2009-Q1,20090101,20090331,2009,2009,20090101,20091231,N,20141115,NULL,20141115
51,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-003,2009-003,3,20090301,20090331,2009-Q1,2009-Q1,20090101,20090331,2009,2009,20090101,20091231,N,20141115,NULL,20141115
52,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-004,2009-004,4,20090401,20090430,2009-Q2,2009-Q2,20090401,20090630,2009,2009,20090101,20091231,N,20141115,NULL,20141115
53,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-005,2009-005,5,20090501,20090531,2009-Q2,2009-Q2,20090401,20090630,2009,2009,20090101,20091231,N,20141115,NULL,20141115
54,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-006,2009-006,6,20090601,20090630,2009-Q2,2009-Q2,20090401,20090630,2009,2009,20090101,20091231,N,20141115,NULL,20141115
55,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-007,2009-007,7,20090701,20090731,2009-Q3,2009-Q3,20090701,20090930,2009,2009,20090101,20091231,N,20141115,NULL,20141115
56,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-008,2009-008,8,20090801,20090831,2009-Q3,2009-Q3,20090701,20090930,2009,2009,20090101,20091231,N,20141115,NULL,20141115
57,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-009,2009-009,9,20090901,20090930,2009-Q3,2009-Q3,20090701,20090930,2009,2009,20090101,20091231,N,20141115,NULL,20141115
58,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-010,2009-010,10,20091001,20091031,2009-Q4,2009-Q4,20091001,20091231,2009,2009,20090101,20091231,N,20141115,NULL,20141115
59,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-011,2009-011,11,20091101,20091130,2009-Q4,2009-Q4,20091001,20091231,2009,2009,20090101,20091231,N,20141115,NULL,20141115
60,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-012,2009-012,12,20091201,20091231,2009-Q4,2009-Q4,20091001,20091231,2009,2009,20090101,20091231,N,20141115,NULL,20141115
61,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-013,2009-013,13,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,20141115,NULL,20141115
62,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-014,2009-014,14,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,20141115,NULL,20141115
63,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-015,2009-015,15,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,20141115,NULL,20141115
64,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2009-016,2009-016,16,20091231,20091231,2009-Q4,2009-Q4,20090930,20091231,2009,2009,20090101,20091231,Y,20141115,NULL,20141115
65,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-001,2010-001,1,20100101,20100131,2010-Q1,2010-Q1,20100101,20100331,2010,2010,20100101,20101231,N,20141115,NULL,20141115
66,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-002,2010-002,2,20100201,20100228,2010-Q1,2010-Q1,20100101,20100331,2010,2010,20100101,20101231,N,20141115,NULL,20141115
67,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-003,2010-003,3,20100301,20100331,2010-Q1,2010-Q1,20100101,20100331,2010,2010,20100101,20101231,N,20141115,NULL,20141115
68,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-004,2010-004,4,20100401,20100430,2010-Q2,2010-Q2,20100401,20100630,2010,2010,20100101,20101231,N,20141115,NULL,20141115
69,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-005,2010-005,5,20100501,20100531,2010-Q2,2010-Q2,20100401,20100630,2010,2010,20100101,20101231,N,20141115,NULL,20141115
70,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-006,2010-006,6,20100601,20100630,2010-Q2,2010-Q2,20100401,20100630,2010,2010,20100101,20101231,N,20141115,NULL,20141115
71,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-007,2010-007,7,20100701,20100731,2010-Q3,2010-Q3,20100701,20100930,2010,2010,20100101,20101231,N,20141115,NULL,20141115
72,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-008,2010-008,8,20100801,20100831,2010-Q3,2010-Q3,20100701,20100930,2010,2010,20100101,20101231,N,20141115,NULL,20141115
73,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-009,2010-009,9,20100901,20100930,2010-Q3,2010-Q3,20100701,20100930,2010,2010,20100101,20101231,N,20141115,NULL,20141115
74,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-010,2010-010,10,20101001,20101031,2010-Q4,2010-Q4,20101001,20101231,2010,2010,20100101,20101231,N,20141115,NULL,20141115
75,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-011,2010-011,11,20101101,20101130,2010-Q4,2010-Q4,20101001,20101231,2010,2010,20100101,20101231,N,20141115,NULL,20141115
76,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-012,2010-012,12,20101201,20101231,2010-Q4,2010-Q4,20101001,20101231,2010,2010,20100101,20101231,N,20141115,NULL,20141115
77,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-013,2010-013,13,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,20141115,NULL,20141115
78,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-014,2010-014,14,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,20141115,NULL,20141115
79,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-015,2010-015,15,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,20141115,NULL,20141115
80,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2010-016,2010-016,16,20101231,20101231,2010-Q4,2010-Q4,20100930,20101231,2010,2010,20100101,20101231,Y,20141115,NULL,20141115
81,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-001,2011-001,1,20110101,20110131,2011-Q1,2011-Q1,20110101,20110331,2011,2011,20110101,20111231,N,20141115,NULL,20141115
82,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-002,2011-002,2,20110201,20110228,2011-Q1,2011-Q1,20110101,20110331,2011,2011,20110101,20111231,N,20141115,NULL,20141115
83,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-003,2011-003,3,20110301,20110331,2011-Q1,2011-Q1,20110101,20110331,2011,2011,20110101,20111231,N,20141115,NULL,20141115
84,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-004,2011-004,4,20110401,20110430,2011-Q2,2011-Q2,20110401,20110630,2011,2011,20110101,20111231,N,20141115,NULL,20141115
85,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-005,2011-005,5,20110501,20110531,2011-Q2,2011-Q2,20110401,20110630,2011,2011,20110101,20111231,N,20141115,NULL,20141115
86,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-006,2011-006,6,20110601,20110630,2011-Q2,2011-Q2,20110401,20110630,2011,2011,20110101,20111231,N,20141115,NULL,20141115
87,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-007,2011-007,7,20110701,20110731,2011-Q3,2011-Q3,20110701,20110930,2011,2011,20110101,20111231,N,20141115,NULL,20141115
88,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-008,2011-008,8,20110801,20110831,2011-Q3,2011-Q3,20110701,20110930,2011,2011,20110101,20111231,N,20141115,NULL,20141115
89,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-009,2011-009,9,20110901,20110930,2011-Q3,2011-Q3,20110701,20110930,2011,2011,20110101,20111231,N,20141115,NULL,20141115
90,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-010,2011-010,10,20111001,20111031,2011-Q4,2011-Q4,20111001,20111231,2011,2011,20110101,20111231,N,20141115,NULL,20141115
91,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-011,2011-011,11,20111101,20111130,2011-Q4,2011-Q4,20111001,20111231,2011,2011,20110101,20111231,N,20141115,NULL,20141115
92,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-012,2011-012,12,20111201,20111231,2011-Q4,2011-Q4,20111001,20111231,2011,2011,20110101,20111231,N,20141115,NULL,20141115
93,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-013,2011-013,13,20111231,20111231,2011-Q4,2011-Q4,20110930,20111231,2011,2011,20110101,20111231,Y,20141115,NULL,20141115
94,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-014,2011-014,14,20111231,20111231,2011-Q4,2011-Q4,20110930,20111231,2011,2011,20110101,20111231,Y,20141115,NULL,20141115
95,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-015,2011-015,15,20111231,20111231,2011-Q4,2011-Q4,20110930,20111231,2011,2011,20110101,20111231,Y,20141115,NULL,20141115
96,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2011-016,2011-016,16,20111231,20111231,2011-Q4,2011-Q4,20110930,20111231,2011,2011,20110101,20111231,Y,20141115,NULL,20141115
97,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-001,2012-001,1,20120101,20120131,2012-Q1,2012-Q1,20120101,20120331,2012,2012,20120101,20121231,N,20141115,NULL,20141115
98,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-002,2012-002,2,20120201,20120229,2012-Q1,2012-Q1,20120101,20120331,2012,2012,20120101,20121231,N,20141115,NULL,20141115
99,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-003,2012-003,3,20120301,20120331,2012-Q1,2012-Q1,20120101,20120331,2012,2012,20120101,20121231,N,20141115,NULL,20141115
100,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-004,2012-004,4,20120401,20120430,2012-Q2,2012-Q2,20120401,20120630,2012,2012,20120101,20121231,N,20141115,NULL,20141115
101,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-005,2012-005,5,20120501,20120531,2012-Q2,2012-Q2,20120401,20120630,2012,2012,20120101,20121231,N,20141115,NULL,20141115
102,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-006,2012-006,6,20120601,20120630,2012-Q2,2012-Q2,20120401,20120630,2012,2012,20120101,20121231,N,20141115,NULL,20141115
103,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-007,2012-007,7,20120701,20120731,2012-Q3,2012-Q3,20120701,20120930,2012,2012,20120101,20121231,N,20141115,NULL,20141115
104,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-008,2012-008,8,20120801,20120831,2012-Q3,2012-Q3,20120701,20120930,2012,2012,20120101,20121231,N,20141115,NULL,20141115
105,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-009,2012-009,9,20120901,20120930,2012-Q3,2012-Q3,20120701,20120930,2012,2012,20120101,20121231,N,20141115,NULL,20141115
106,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-010,2012-010,10,20121001,20121031,2012-Q4,2012-Q4,20121001,20121231,2012,2012,20120101,20121231,N,20141115,NULL,20141115
107,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-011,2012-011,11,20121101,20121130,2012-Q4,2012-Q4,20121001,20121231,2012,2012,20120101,20121231,N,20141115,NULL,20141115
108,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-012,2012-012,12,20121201,20121231,2012-Q4,2012-Q4,20121001,20121231,2012,2012,20120101,20121231,N,20141115,NULL,20141115
109,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-013,2012-013,13,20121231,20121231,2012-Q4,2012-Q4,20120930,20121231,2012,2012,20120101,20121231,Y,20141115,NULL,20141115
110,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-014,2012-014,14,20121231,20121231,2012-Q4,2012-Q4,20120930,20121231,2012,2012,20120101,20121231,Y,20141115,NULL,20141115
111,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-015,2012-015,15,20121231,20121231,2012-Q4,2012-Q4,20120930,20121231,2012,2012,20120101,20121231,Y,20141115,NULL,20141115
112,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2012-016,2012-016,16,20121231,20121231,2012-Q4,2012-Q4,20120930,20121231,2012,2012,20120101,20121231,Y,20141115,NULL,20141115
113,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-001,2013-001,1,20130101,20130131,2013-Q1,2013-Q1,20130101,20130331,2013,2013,20130101,20131231,N,20141115,NULL,20141115
114,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-002,2013-002,2,20130201,20130228,2013-Q1,2013-Q1,20130101,20130331,2013,2013,20130101,20131231,N,20141115,NULL,20141115
115,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-003,2013-003,3,20130301,20130331,2013-Q1,2013-Q1,20130101,20130331,2013,2013,20130101,20131231,N,20141115,NULL,20141115
116,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-004,2013-004,4,20130401,20130430,2013-Q2,2013-Q2,20130401,20130630,2013,2013,20130101,20131231,N,20141115,NULL,20141115
117,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-005,2013-005,5,20130501,20130531,2013-Q2,2013-Q2,20130401,20130630,2013,2013,20130101,20131231,N,20141115,NULL,20141115
118,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-006,2013-006,6,20130601,20130630,2013-Q2,2013-Q2,20130401,20130630,2013,2013,20130101,20131231,N,20141115,NULL,20141115
119,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-007,2013-007,7,20130701,20130731,2013-Q3,2013-Q3,20130701,20130930,2013,2013,20130101,20131231,N,20141115,NULL,20141115
120,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-008,2013-008,8,20130801,20130831,2013-Q3,2013-Q3,20130701,20130930,2013,2013,20130101,20131231,N,20141115,NULL,20141115
121,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-009,2013-009,9,20130901,20130930,2013-Q3,2013-Q3,20130701,20130930,2013,2013,20130101,20131231,N,20141115,NULL,20141115
122,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-010,2013-010,10,20131001,20131031,2013-Q4,2013-Q4,20131001,20131231,2013,2013,20130101,20131231,N,20141115,NULL,20141115
123,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-011,2013-011,11,20131101,20131130,2013-Q4,2013-Q4,20131001,20131231,2013,2013,20130101,20131231,N,20141115,NULL,20141115
124,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-012,2013-012,12,20131201,20131231,2013-Q4,2013-Q4,20131001,20131231,2013,2013,20130101,20131231,N,20141115,NULL,20141115
125,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-013,2013-013,13,20131231,20131231,2013-Q4,2013-Q4,20130930,20131231,2013,2013,20130101,20131231,Y,20141115,NULL,20141115
126,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-014,2013-014,14,20131231,20131231,2013-Q4,2013-Q4,20130930,20131231,2013,2013,20130101,20131231,Y,20141115,NULL,20141115
127,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-015,2013-015,15,20131231,20131231,2013-Q4,2013-Q4,20130930,20131231,2013,2013,20130101,20131231,Y,20141115,NULL,20141115
128,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2013-016,2013-016,16,20131231,20131231,2013-Q4,2013-Q4,20130930,20131231,2013,2013,20130101,20131231,Y,20141115,NULL,20141115
129,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2014-001,2014-001,1,20140101,20140131,2014-Q1,2014-Q1,20140101,20140331,2014,2014,20140101,20141231,N,20141115,NULL,20141115
130,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2014-002,2014-002,2,20140201,20140228,2014-Q1,2014-Q1,20140101,20140331,2014,2014,20140101,20141231,N,20141115,NULL,20141115
131,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2014-003,2014-003,3,20140301,20140331,2014-Q1,2014-Q1,20140101,20140331,2014,2014,20140101,20141231,N,20141115,NULL,20141115
